ID	Dev._Stage	Timepoint	Site	Date	Tree_spec.	Tree_Numb	Tree_ID	Defoliation_level	Sample	Latitude	Longitude	Dposcontrol_extraction_ID	Dposcontrol_extraction_kit	Notes	Date_of_extraction	Negative
b65	Foliage	2	QC2	6/18/2015	Spruce	Bf4	QC2_Bf4	45	N/A	48.2852333	-67.42145	b65	Kit2		20/07/18	N7
b66	Foliage	2	NL1	30/06/2015	Balsam_fir	Spr1	NL1_Spr1	50	N/A	53.30695	-60.17443	b66	Kit2		20/07/18	N7
b67	Foliage	2	NL1	30/06/2015	Spruce	Bf2	NL1_Bf2	50	N/A	53.30695	-60.17443	b67	Kit2		20/07/18	N7
b68	Foliage	2	NL2	3/7/2015	Balsam_fir	Spr2	NL2_Spr2	50	N/A	53.38794	-60.41273	b68	Kit2		20/07/18	N7
b71	Foliage	2	NL3	3/7/2015	Balsam_fir	Spr1	NL3_Spr1	50	N/A	53.33703	-60.19949	b71	Kit2		20/07/18	N7
b72	Foliage	2	NL4	3/7/2015	Balsam_fir	Spr1	NL4_Spr1	50	N/A	53.27735	-60.49179	b72	Kit2		20/07/18	N7
b73	Foliage	2	NL4	3/7/2015	Spruce	Bf2	NL4_Bf2	50	N/A	53.27735	-60.49179	b73	Kit2		20/07/18	N7
b74	Foliage	2	NL5	9/7/2015	Spruce	Bf3	NL5_Bf3	30	N/A	53.28057	-60.62067	b74	Kit2		20/07/18	N7
b75	Foliage	2	E1	7/11/2015	Balsam_fir	Spr2	E1_Spr2	70	N/A	49.351164	-67.834043	b75	Kit2		20/07/18	N7
b76	Foliage	2	T001	7/5/2015	Spruce	Bf3	T001_Bf3	5	N/A	48.959729	-69.192473	b76	Kit2		20/07/18	N8
b77	Foliage	2	T002	7/5/2015	Spruce	Bf2	T002_Bf2	30	N/A	49.282723	-69.530557	b77	Kit2		20/07/18	N8
b78	Foliage	2	T003	7/5/2015	Balsam_fir	Spr2	T003_Spr2	15	N/A	49.645677	-69.83582	b78	Kit2		20/07/18	N8
b79	Foliage	2	T003	7/5/2015	Spruce	Bf3	T003_Bf3	15	N/A	49.645677	-69.83582	b79	Kit2		20/07/18	N8
b80	Foliage	2	T006X	7/17/2015	Balsam_fir	Spr2	T006X_Spr2	5	N/A	49.538392	-67.488708	b80	Kit2		20/07/18	N8
b81	Foliage	2	T008	7/7/2015	Balsam_fir	Spr2	T008_Spr2	35	N/A	49.23949	-68.597442	b81	Kit2		20/07/18	N8
b82	Foliage	2	T008	7/7/2015	Spruce	Bf2	T008_Bf2	30	N/A	49.23949	-68.597442	b82	Kit2		20/07/18	N8
b83	Foliage	2	T008	7/7/2015	Spruce	Bf3	T008_Bf3	40	N/A	49.23949	-68.597442	b83	Kit2		20/07/18	N8
b84	Foliage	2	T009	7/7/2015	Balsam_fir	Spr2	T009_Spr2	20	N/A	49.611703	-69.075353	b84	Kit2		20/07/18	N8
b85	Foliage	2	T009	7/7/2015	Spruce	Bf3	T009_Bf3	25	N/A	49.611703	-69.075353	b85	Kit2		20/07/18	N8
b86	Foliage	2	T010	7/8/2015	Spruce	Bf3	T010_Bf3	3	N/A	49.748861	-68.536682	b86	Kit2		20/07/18	N8
b87	Foliage	2	T011X	7/15/2015	Balsam_fir	Spr3	T011X_Spr3	10	N/A	49.89622	-68.197646	b87	Kit2		20/07/18	N8
b88	Foliage	2	T012X	7/15/2015	Balsam_fir	Spr2	T012X_Spr2	3	N/A	50.229951	-68.235794	b88	Kit2		20/07/18	N8
b89	Foliage	2	T013	7/18/2015	Spruce	Bf2	T013_Bf2	3	N/A	50.771329	-68.663839	b89	Kit2		20/07/18	N8
b90	Foliage	2	T015	7/17/2015	Spruce	Bf2	T015_Bf2	15	N/A	50.089301	-67.054625	b90	Kit2		20/07/18	N8
