ID	Dev._Stage	Timepoint	Site	Date	Tree_spec.	Tree_Numb	Tree_ID	Defoliation_level	Sample	Latitude	Longitude	Dposcontrol_extraction_ID	Dposcontrol_extraction_kit	Notes	Date_of_extraction	Negative
PosFor4	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol
PosFor5	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol
PosFor6	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol
PosFor7	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol
PosFor8	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol
PosFor9	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol	poscontrol
a02	L6	2	NL3	3/7/2015	Spruce	Bf2	NL3_Bf2	70	A	53.33703	-60.19949	a02	Kit1	59	23/04/18	N1
a03	L6	2	NL5	9/7/2015	Balsam_fir	Spr2	NL5_Spr2	10	A	53.28057	-60.62067	a03	Kit1	149	23/04/18	N1
a04	L6	2	QT1	6/24/2015	Spruce	Bf1	QT1_Bf1	25	A	48.19458336	-67.27085	a04	Kit1	125	23/04/18	N1
a05	L6	2	QT1	6/24/2015	Balsam_fir	Spr3	QT1_Spr3	5	A	48.19458336	-67.27085	a05	Kit1	152	23/04/18	N1
a07	L6	2	QT2	6/18/2015	Balsam_fir	Spr1	QT2_Spr1	15	A	48.28358333	-67.47431668	a07	Kit1	176	23/04/18	N1
a08	L6	2	QT2	6/18/2015	Spruce	Bf3	QT2_Bf3	15	A	48.28358333	-67.47431668	a08	Kit1	297	23/04/18	N1
